0,1,2,3
1,octobersveryown,Drake - IDGAF (feat. Yeat),1193633
2,Ken Carson,Fighting Demons,947072
3,Mc Ryan Sp - Tubarão 🦈 (Oficial) ME SEGUE👤,"LET'S GO 4_ Mc IG, Mc Ryan SP, Mc Luki, Mc PH, Mc Kadu , MC Davi ,TrapLaudo ghdo7 (Áudio Oficial)",744092
4,Ken Carson,Jennifer's Body,708130
5,Offset,Offset - SAY MY GRACE (feat. Travis Scott),678139
6,Gunna,fukumean,614856
7,Lil Tecca ✰,Lil Tecca - 500lbs,604141
8,Rod Wave,Great Gatsby,591791
9,Kenya Grace,Only In My Mind,551026
10,Ken Carson,Succubus,550584
11,Ken Carson,Paranoid (ft. Destroy Lonely),527565
12,Ken Carson,Me N My Kup,515389
13,Zac Amiri @weloveyouamiri,DO OR DIE,512010
14,ahmed samir,Satalana - سطلانه عبد الباسط حمودة ومحمود الليثي,511688
15,Ken Carson,Singapore (ft. Destroy Lonely),501275
16,SUICIDAL-IDOL,ecstacy - (slowed),496077
17,Offset,"Offset, Future - BROAD DAY",485602
18,Kenya Grace,Strangers,475870
19,Ken Carson,Lose It,473436
1,octobersveryown,Drake - IDGAF (feat. Yeat),1193633
2,Ken Carson,Fighting Demons,947072
3,Mc Ryan Sp - Tubarão 🦈 (Oficial) ME SEGUE👤,"LET'S GO 4_ Mc IG, Mc Ryan SP, Mc Luki, Mc PH, Mc Kadu , MC Davi ,TrapLaudo ghdo7 (Áudio Oficial)",744092
4,Ken Carson,Jennifer's Body,708130
5,Offset,Offset - SAY MY GRACE (feat. Travis Scott),678139
6,Gunna,fukumean,614856
7,Lil Tecca ✰,Lil Tecca - 500lbs,604141
8,Rod Wave,Great Gatsby,591791
9,Kenya Grace,Only In My Mind,551026
10,Ken Carson,Succubus,550584
11,Ken Carson,Paranoid (ft. Destroy Lonely),527565
12,Ken Carson,Me N My Kup,515389
13,Zac Amiri @weloveyouamiri,DO OR DIE,512010
14,ahmed samir,Satalana - سطلانه عبد الباسط حمودة ومحمود الليثي,511688
15,Ken Carson,Singapore (ft. Destroy Lonely),501275
16,SUICIDAL-IDOL,ecstacy - (slowed),496077
17,Offset,"Offset, Future - BROAD DAY",485602
18,Kenya Grace,Strangers,475870
19,Ken Carson,Lose It,473436
20,قراميط والهلافيت عاملين مظابيط,قراميط والهلافيت عاملين مظابيط - صحبي الي اداك يدينا كريم كريستيانو,471962
21,octobersveryown,Drake - First Person Shooter (feat. J. Cole),459386
22,Ken Carson,Green Room,445900
23,Rod Wave,Turks & Caicos (feat. 21 Savage),444847
24,Offset,Offset - FAN,441113
25,yatashigang,"LOVELY BASTARDS (YATASHIGANG, ZWE1HVNDXR)",437036
