0,1,2,3,4
,,,,
1,NEW,MONACO,Bad Bunny,Open on Spotify
2,1,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",Open on Spotify
3,1,Paint The Town Red,Doja Cat,Open on Spotify
4,NEW,PERRO NEGRO,"Bad Bunny, Feid",Open on Spotify
5,2,greedy,Tate McRae,Open on Spotify
6,1,Si No Estás,iñigo quintero,Open on Spotify
7,NEW,FINA,"Bad Bunny, Young Miko",Open on Spotify
8,1,Cruel Summer,Taylor Swift,Open on Spotify
9,1,Strangers,Kenya Grace,Open on Spotify
10,6,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",Open on Spotify
11,NEW,HIBIKI,"Bad Bunny, Mora",Open on Spotify
12,7,IDGAF (feat. Yeat),"Drake, Yeat",Open on Spotify
13,3,QLONA,"KAROL G, Peso Pluma",Open on Spotify
14,NEW,NADIE SABE,Bad Bunny,Open on Spotify
15,2,My Love Mine All Mine,Mitski,Open on Spotify
16,4,LALA,Myke Towers,Open on Spotify
17,1,UN PREVIEW,Bad Bunny,Open on Spotify
18,NEW,SEDA,"Bad Bunny, Bryant Myers",Open on Spotify
19,NEW,BABY NUEVA,Bad Bunny,Open on Spotify
20,NEW,MR. OCTOBER,Bad Bunny,Open on Spotify
21,NEW,TELEFONO NUEVO,"Bad Bunny, Luar La L",Open on Spotify
22,17,Water,Tyla,Open on Spotify
23,NEW,CYBERTRUCK,Bad Bunny,Open on Spotify
24,50,WHERE SHE GOES,Bad Bunny,Open on Spotify
25,3,I Wanna Be Yours,Arctic Monkeys,Open on Spotify
26,NEW,GRACIAS POR NADA,Bad Bunny,Open on Spotify
27,8,vampire,Olivia Rodrigo,Open on Spotify
28,3,fukumean,Gunna,Open on Spotify
29,23,First Person Shooter (feat. J. Cole),"Drake, J. Cole",Open on Spotify
30,6,LADY GAGA,"Peso Pluma, Gabito Ballesteros, Junior H",Open on Spotify
31,1,Según Quién,"Maluma, Carin Leon",Open on Spotify
32,6,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,Open on Spotify
33,2,Daylight,David Kushner,Open on Spotify
34,2,Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",Open on Spotify
35,NEW,MERCEDES CAROTA,"Bad Bunny, YOVNGCHIMI",Open on Spotify
36,13,Columbia,Quevedo,Open on Spotify
37,4,Prada,"cassö, RAYE, D-Block Europe",Open on Spotify
38,4,As It Was,Harry Styles,Open on Spotify
39,NEW,VOU 787,Bad Bunny,Open on Spotify
40,4,Kill Bill,SZA,Open on Spotify
41,14,Dance The Night - From Barbie The Album,Dua Lipa,Open on Spotify
42,NEW,LOS PITS,Bad Bunny,Open on Spotify
43,2,Blank Space,Taylor Swift,Open on Spotify
44,7,Starboy,"The Weeknd, Daft Punk",Open on Spotify
45,3,Style,Taylor Swift,Open on Spotify
46,NEW,THUNDER Y LIGHTNING,"Bad Bunny, Eladio Carrion",Open on Spotify
